ID,epoch,guid,userID
165,1584297761,96_campus_5e6e77211af676.59715536,96
166,1584301512,138_campus_5e6e85c82defe7.50521101,138
167,1584304080,155_campus_5e6e8fd0f144f1.37898267,155
168,1584304254,153_campus_5e6e907e3bfa86.27832832,153
169,1584304945,155_campus_5e6e9331e6a401.01173533,155
170,1584307587,116_campus_5e6e9d83bada17.52237760,116
171,1584311551,151_campus_5e6eacff1b2123.55846200,151
172,1584312507,121_campus_5e6eb0bb1ff425.19528588,121
173,1584315619,159_campus_5e6ebce3c42d73.13610587,159
174,1584316077,118_campus_5e6ebead7c8809.61288216,118
175,1584316777,134_campus_5e6ec169c71244.18594337,134
176,1584316781,151_campus_5e6ec16d6a6c08.87399163,151
177,1584322305,152_campus_5e6ed701c2ba76.21160692,152
178,1584323391,160_campus_5e6edb3f69c3d7.87260701,160
179,1584328401,138_campus_5e6eeed1a5bef1.12851396,138
180,1584328949,93_campus_5e6ef0f5013112.79995317,93
181,1584329645,93_campus_5e6ef3ad9df022.07170141,93
182,1584331545,161_campus_5e6efb19180a06.09877682,161
183,1584335587,162_campus_5e6f0ae3632779.00087195,162
184,1584357658,129_campus_5e6f611abef108.10481001,129
186,1584368432,125_campus_5e6f8b3066f714.88831855,125
187,1584369392,152_campus_5e6f8ef017c0c7.46514325,152
188,1584370010,164_campus_5e6f915ad9dd37.37601682,164
189,1584371010,83_campus_5e6f9542c86382.60184983,83
190,1584372413,107_campus_5e6f9abd75c279.80728190,107
191,1584377496,165_campus_5e6fae98739f26.56804238,165
192,1584377499,149_campus_5e6fae9ba80142.52832956,149
193,1584378402,166_campus_5e6fb222f20130.23417080,166
194,1584378583,166_campus_5e6fb2d79c9d80.69835012,166
195,1584381067,167_campus_5e6fbc8bce7618.79764993,167
196,1584381300,167_campus_5e6fbd740fa356.03788487,167
197,1584381422,167_campus_5e6fbdee463847.32262101,167
198,1584381921,152_campus_5e6fbfe13b44c5.04114340,152
199,1584382356,65_campus_5e6fc194c23072.23783745,65
200,1584382418,107_campus_5e6fc1d2885317.98109085,107
201,1584382472,65_campus_5e6fc208e6b4a3.97947854,65
202,1584382583,167_campus_5e6fc27716b503.35426692,167
203,1584383112,167_campus_5e6fc488a43b05.54912730,167
204,1584384613,107_campus_5e6fca65cc0159.96728151,107
205,1584385103,168_campus_5e6fcc4f9f0174.65455420,168
206,1584385349,137_campus_5e6fcd45d8c292.46943712,137
207,1584385528,163_campus_5e6fcdf8af7f48.81393549,163
208,1584385593,163_campus_5e6fce39092a69.68188256,163
209,1584387867,169_campus_5e6fd71b496b38.24636034,169
210,1584388325,146_campus_5e6fd8e5f1e4e2.03940315,146
211,1584388641,149_campus_5e6fda2134b785.38152310,149
212,1584390660,170_campus_5e6fe204ae9d45.25261251,170
213,1584391560,152_campus_5e6fe588ef6377.73558773,152
214,1584392316,172_campus_5e6fe87c55e816.11899547,172
215,1584392460,170_campus_5e6fe90c623e01.91443093,170
216,1584393067,159_campus_5e6feb6b6c13f9.09174815,159
217,1584394788,106_campus_5e6ff224034370.86636407,106
218,1584394979,152_campus_5e6ff2e3a07019.13544114,152
219,1584395671,170_campus_5e6ff5977659e5.27900959,170
220,1584397906,170_campus_5e6ffe52eb6a04.01837075,170
221,1584398051,144_campus_5e6ffee39deeb3.78720954,144
222,1584398372,163_campus_5e70002423ba65.88465256,163
223,1584398375,149_campus_5e700027b7e950.16094990,149
224,1584400363,173_campus_5e7007eb6b8212.47474231,173
225,1584401150,134_campus_5e700afed76570.91899800,134
226,1584401557,173_campus_5e700c951c9f58.94624396,173
227,1584401593,173_campus_5e700cb97d8be6.11931800,173
228,1584402028,149_campus_5e700e6c8ac807.41276780,149
229,1584402039,161_campus_5e700e77b91d34.21983289,161
230,1584402043,173_campus_5e700e7bd63ad8.62439150,173
231,1584403171,106_campus_5e7012e306dd70.22876660,106
232,1584403236,122_campus_5e701324b7dc21.43450863,122
233,1584405407,118_campus_5e701b9fe89626.10986421,118
234,1584406138,94_campus_5e701e7a699243.92811267,94
235,1584406142,102_campus_5e701e7e913480.82491908,102
236,1584406806,122_campus_5e7021166b69f6.61017953,122
237,1584407099,122_campus_5e70223baa5423.34594708,122
238,1584407450,152_campus_5e70239ac4b698.32560595,152
239,1584407574,141_campus_5e70241647dd58.59524155,141
240,1584408070,145_campus_5e702606132305.18818235,145
242,1584415870,159_campus_5e70447ea9b227.02698481,159
243,1584416454,162_campus_5e7046c6466a48.81506740,162
244,1584443171,129_campus_5e70af239b4b58.01838261,129
245,1584446743,94_campus_5e70bd17417ff8.53532409,94
246,1584447468,181_campus_5e70bfec734df5.95458392,181
247,1584450697,152_campus_5e70cc89a28201.27446074,152
248,1584452073,153_campus_5e70d1e98cf381.90318207,153
249,1584453297,133_campus_5e70d6b17e0bf4.20700324,133
250,1584454665,148_campus_5e70dc09301cb0.90236081,148
251,1584462217,159_campus_5e70f9890546f9.87907275,159
252,1584463023,172_campus_5e70fcafe79488.50997088,172
253,1584464371,110_campus_5e7101f3af81c4.43930204,110
254,1584464970,143_campus_5e71044a3fda91.74621373,143
255,1584465091,182_campus_5e7104c35f8119.52357166,182
256,1584465446,151_campus_5e710626691050.22856140,151
257,1584465871,98_campus_5e7107cfac45c5.33313058,98
258,1584466325,154_campus_5e7109951dba78.61484508,154
259,1584466778,154_campus_5e710b5a6b04d9.64469313,154
260,1584466823,116_campus_5e710b877055c3.92415510,116
261,1584467187,151_campus_5e710cf34f9d99.48050354,151
262,1584467201,152_campus_5e710d015ab2b1.34639888,152
263,1584467464,151_campus_5e710e08e29f99.09684419,151
264,1584467625,185_campus_5e710ea9b4c594.55100742,185
265,1584468263,110_campus_5e711127991241.81499472,110
266,1584468345,187_campus_5e7111790f5494.77472401,187
267,1584468603,65_campus_5e71127b495388.13232614,65
268,1584468870,188_campus_5e711386981b75.03728426,188
269,1584469345,152_campus_5e71156174e349.07270167,152
270,1584470460,190_campus_5e7119bc589226.27932935,190
271,1584471370,170_campus_5e711d4a642268.95823919,170
272,1584471884,193_campus_5e711f4c68f133.13707641,193
273,1584471900,192_campus_5e711f5c36d344.22805902,192
274,1584473581,194_campus_5e7125eda14e58.64703339,194
275,1584478925,159_campus_5e713acd44b893.35216482,159
276,1584479454,152_campus_5e713cde074083.49986247,152
277,1584479735,186_campus_5e713df738e816.58089362,186
278,1584483291,80_campus_5e714bdbd17724.99368724,80
279,1584483770,197_campus_5e714dbac8e436.60093047,197
280,1584484018,172_campus_5e714eb20704c3.60925359,172
